Database,Study design,WASH,Environmental markers,Child fecal markers,Diarrhea,Child growth
,,,,OR title:”Stool examination” OR title:”Stool sampling” OR title:”Stool collection” OR de:”faecal examination” OR de:”helminthoses” OR de:”helminths” OR de:”parasites” OR de:“parasitoses” OR de:”intestinal microorganisms” OR de:“diarrhoeagenic E. coli” OR de:“Diarrhoeagenic Escherichia coli“,,
Web of Science,TS=((“matched”) OR (“trial”) OR (“RCT”) OR (“experiment”) OR (“intervention”) OR (“randomized”) OR (“randomised”) OR (“quasi-randomized”) OR (“quasi-randomised”) OR (“quasi-experimental”) OR (“pseudo-randomized”) OR (“pseudo-randomised”)),TS=((“Water”) OR (“Sanitation”) OR (“Hygiene”) OR (“Handwashing”) OR (“WSH”) OR (“Sanitary Drainage”) OR (“disinfect*”)),TS=((“molecular source tracking”) OR (“microbial source tracking”) OR (“microbial transmission”) OR (“diarrh$eal pathogen”) OR (“diarrh$eal pathogens”) OR (“f$ecal-oral”) OR (“enteric pathogen$”) OR (“ruminant*”) OR (“avian*”) OR (“f$ecal”) OR (“f$eces”) OR (“f$ecally”)),TS=((“Enteric infection$”) OR (“Soil-transmitted helminth$”) OR (“Protozoan$”) OR (“Seroconversion”) OR (“F$ecal microbio*”) OR (“F$ecal biomarker”) OR (“F$ecal biomarkers”)  OR (“Seroconversion”) OR (“Helminthias$s”) OR (“Intestinal infection$”) OR (“Viral infection$”) OR,OR (“Diarrh*”) OR (“Dysentery”),OR (“Child growth”) OR (“Growth faltering”)OR (“Child development”) OR (“Length-for-age”) OR (“Height-for-age”) OR (“Weight-for-age”) OR (“Head circumference”) OR (“Waist circumference”) OR (“Stunt*”) OR (“Wasting”) OR (“Wasted”) OR (“Linear growth”) OR (“Anthropometric measurement$”) OR (“Maln*”) OR (“Undernourish*”) OR (“Undernutrition”) OR (“Underweight”) OR (“Growth Disorders”) OR (“Child nutrition disorder$”) OR (“Wasting syndrome”) OR (“Thinness”) OR
,,,,(“Bacterial infection$”) OR (“Parasite infection$”) OR (“Parasitic infection$”) OR (“Helminth infection$”) OR (“F$ecal sampling”),,(“Growth velocity”))
,,,,OR (“Stool sampling”) OR (“Stool collection”) OR (“Enteritis”),,
Agricultural & Environmental Science Database,"AB,TI,IF(“matched”) OR AB,TI,IF(“trial”) OR AB,TI,IF(“RCT”) OR AB,TI,IF(“experiment”) OR AB,TI,IF(“intervention”) OR AB,TI,IF(“randomized”) OR AB,TI,IF(“randomised”) OR AB,TI,IF(“quasi-randomized”) OR AB,TI,IF(“quasi-randomised”) OR AB,TI,IF(“quasi-experimental”) OR AB,TI,IF(“pseudo-randomized”) OR AB,TI,IF(“pseudo-randomised”) OR SU(“Randomized controlled trials”) OR SU(“Randomized”)","AB,TI,IF(“Water”) OR AB,TI,IF(“Sanitation”) OR AB,TI,IF(“Hygiene”) OR AB,TI,IF(“Handwashing”) OR AB,TI,IF(“WSH”) OR AB,TI,IF(“Sanitary Drainage”) OR AB,TI,IF(“disinfect*”) OR SU(“Sanitation”) OR SU(“Water treatment”) OR SU(“Hygiene”) OR SU(“Drinking water”) OR SU(“Groundwater”)","AB,TI,IF(“molecular source tracking”) OR AB,TI,IF(“microbial source tracking”) OR AB,TI,IF(“microbial transmission”) OR AB,TI,IF(“diarrheal pathogen?”) OR AB,TI,IF(“diarrhoeal pathogen?”) OR AB,TI,IF(“enteric pathogen?”) OR AB,TI,IF(“ruminant*”) OR AB,TI,IF(“avian*”)","AB,TI,IF(“Enteritis”) OR AB,TI,IF(“Enteric infection?”) OR AB,TI,IF(“Soil-transmitted helminth?”) OR AB,TI,IF(“Protozoan?”) OR AB,TI,IF(“Seroconversion”) OR AB,TI,IF(“Fecal microbiological”) OR AB,TI,IF(“Fecal microbiology”) OR AB,TI,IF(“Fecal microbiota”) OR AB,TI,IF(“Faecal microbiota”) OR AB,TI,IF(“Faecal microbiological”) OR AB,TI,IF(“Faecal microbiology”) OR AB,TI,IF(“Fecal biomarker?”) OR AB,TI,IF(“Faecal biomarker”) OR AB,TI,IF(“Faecal biomarkers”) OR AB,TI,IF(“Helminthias?s”) OR","AB,TI,IF(“Diarrh*”) OR AB,TI,IF(“Dysentery”) OR SU(“Diarrhea”)","AB,TI,IF(“Child growth”) OR AB,TI,IF(“Growth faltering”) OR AB,TI,IF(“Child development”) OR AB,TI,IF(“Length-for-age”) OR AB,TI,IF(“Height-for-age”) OR AB,TI,IF(“Weight-for-age”) OR AB,TI,IF(“Head circumference”) OR AB,TI,IF(“Waist circumference”) OR AB,TI,IF(“Stunt*”) OR AB,TI,IF(“Wasting”) OR AB,TI,IF(“Wasted”) OR AB,TI,IF(“Linear growth”) OR AB,TI,IF(“Anthropometric measurement”) OR AB,TI,IF(“Anthropometric measurements”) OR AB,TI,IF(“Maln*”) OR AB,TI,IF(“Undernourish*”) OR AB,TI,IF(“Undernutrition”) OR AB,TI,IF(“Underweight”) OR AB,TI,IF(“Growth Disorder”) OR AB,TI,IF(“Growth Disorders”) OR AB,TI,IF(“Child nutrition disorder”) OR AB,TI,IF(“Child nutrition disorders”) OR AB,TI,IF(“Wasting syndrome”) OR AB,TI,IF(“Thinness”) OR"
,,,"OR AB,TI,IF(“f?ec????”) OR SU(“Contamination”) OR SU(“Environmental assessment”) OR SU(“environmental conditions”)","AB,TI,IF(“Intestinal infection”) OR AB,TI,IF(“Intestinal infections”) OR AB,TI,IF(“Viral infection”) OR AB,TI,IF(“Viral infections”) OR",,"AB,TI,IF(“Growth velocity”) OR SU(“Underweight”) OR SU(“Weight”) OR SU(“Physical growth”) OR SU(“Growth disorders”) OR SU(“Malnutrition”)"
,,,,"AB,TI,IF(“Bacterial infection”) OR AB,TI,IF(“Bacterial infections”) OR AB,TI,IF(“Parasite infection”) OR AB,TI,IF(“Parasite infections”) OR AB,TI,IF(“Parasitic infection”) OR AB,TI,IF(“Parasitic infections”) OR AB,TI,IF(“Helminth infection”) OR AB,TI,IF(“Helminth infections”) OR AB,TI,IF(“Fecal sampling”) OR AB,TI,IF(“Faecal sampling”) OR AB,TI,IF(“Stool sampling”) OR AB,TI,IF(“Stool collection”) OR SU(“Bacterial infections”) OR SU(“Viral infections”) OR SU(“Parasitic diseases”)",,
Scopus,TITLE-ABS-KEY(“matched”) OR TITLE-ABS-KEY(“trial”) OR TITLE-ABS-KEY(“RCT”) OR TITLE-ABS-KEY(“experiment”) OR TITLE-ABS-KEY(“intervention”) OR TITLE-ABS-KEY(“randomi*ed”) OR TITLE-ABS-KEY(“quasi-randomi*ed”) OR TITLE-ABS-KEY(“quasi-experimental”) OR TITLE-ABS-KEY(“pseudo-randomi*ed”),TITLE-ABS-KEY(“Water”) OR TITLE-ABS-KEY(“Sanitation”) OR TITLE-ABS-KEY(“Hygiene”) OR TITLE-ABS-KEY(“Handwashing”) OR TITLE-ABS-KEY(“WSH”) OR TITLE-ABS-KEY(“Sanitary Drainage”) OR TITLE-ABS-KEY(“disinfect*”),TITLE-ABS-KEY(“molecular source tracking”) OR TITLE-ABS-KEY(“microbial source tracking”) OR TITLE-ABS-KEY(“microbial transmission”) OR TITLE-ABS-KEY(“diarrh*eal pathogen”) OR TITLE-ABS-KEY(“f*ecal-oral”) OR TITLE-ABS-KEY(“enteric pathogen”) OR TITLE-ABS-KEY(“ruminant*”) OR TITLE-ABS-KEY(“avian*”) OR TITLE-ABS-KEY(“f*ecal”) OR TITLE-ABS-KEY (“f*eces”) OR TITLE-ABS-KEY (“f*ecally”),TITLE-ABS-KEY(“Enteric infection”) OR TITLE-ABS-KEY(“Soil-transmitted helminth”) OR TITLE-ABS-KEY(“Protozoan”) OR TITLE-ABS-KEY(“Seroconversion”) OR TITLE-ABS-KEY(“F*ecal microbio*”) OR TITLE-ABS-KEY(“F*ecal biomarker”) OR TITLE-ABS-KEY(“Seroconversion”) OR TITLE-ABS-KEY(“Helminthiasis”) OR,TITLE-ABS-KEY(“Diarrh*”) OR TITLE-ABS-KEY(“Dysentery”),TITLE-ABS-KEY(“Child growth”) OR TITLE-ABS-KEY(“Growth faltering”) OR TITLE-ABS-KEY(“Child development”) OR TITLE-ABS-KEY(“Length-for-age”) OR TITLE-ABS-KEY(“Height-for-age”) OR TITLE-ABS-KEY(“Weight-for-age”) OR TITLE-ABS-KEY(“Head circumference”) OR TITLE-ABS-KEY(“Waist circumference”) OR TITLE-ABS-KEY(“Stunt*”) OR TITLE-ABS-KEY(“Wasting”) OR TITLE-ABS-KEY(“Wasted”) OR TITLE-ABS-KEY(“Linear growth”) OR TITLE-ABS-KEY(“Anthropometric measurement”) OR TITLE-ABS-KEY(“Maln*”) OR TITLE-ABS-KEY(“Undernourish*”) OR TITLE-ABS-KEY(“Undernutrition”) OR TITLE-ABS-KEY(“Underweight”) OR TITLE-ABS-KEY(“Growth Disorder”) OR TITLE-ABS-KEY(“Child nutrition disorder”) OR TITLE-ABS-KEY(“Wasting syndrome”) OR TITLE-ABS-KEY(“Thinness”) OR
,,,,TITLE-ABS-KEY(“Intestinal infection”) OR TITLE-ABS-KEY(“Viral infection”) OR,,TITLE-ABS-KEY(“Growth velocity”)
,,,,TITLE-ABS-KEY(“Bacterial infection”) OR TITLE-ABS-KEY(“Parasite infection”) OR TITLE-ABS-KEY(“Parasitic infection”) OR TITLE-ABS-KEY(“Helminth infection”) OR TITLE-ABS-KEY(“F*ecal sampling”),,
,,,,OR TITLE-ABS-KEY(“Stool sampling”) OR TITLE-ABS-KEY(“Stool collection”),,
,,,,,,
